iter	Logloss
0	0.6760074991
1	0.6615130632
2	0.6455678078
3	0.6347049644
4	0.6235254979
5	0.6120579361
6	0.6022718186
7	0.5922260587
8	0.5845234079
9	0.5776164798
10	0.5701453531
11	0.5623719866
12	0.5547960387
13	0.5480383677
14	0.5424677117
15	0.5361060086
16	0.5309448774
17	0.5261385863
18	0.521368891
19	0.5157586164
20	0.5090596114
21	0.5041508293
22	0.5002458569
23	0.4957569982
24	0.4931736311
25	0.490089486
26	0.4864240909
27	0.4827457864
28	0.4777620278
29	0.4721665073
30	0.4685226277
31	0.4644710447
32	0.4601070069
33	0.4576483406
34	0.4545754908
35	0.4512209541
36	0.447489823
37	0.4433894865
38	0.4389102242
39	0.4354706053
40	0.4320564325
41	0.4284507373
42	0.4234922821
43	0.420795118
44	0.4172800919
45	0.4139055036
46	0.4111375135
47	0.4084870041
48	0.4058486847
49	0.403581837
50	0.4009825835
51	0.3976000257
52	0.3935823971
53	0.390779805
54	0.3887618871
55	0.3867059946
56	0.3837824902
57	0.3818199417
58	0.3798396237
59	0.3772711099
60	0.3745259158
61	0.372047387
62	0.3694925924
63	0.3669621628
64	0.3655748555
65	0.3630470679
66	0.3619496814
67	0.3599954328
68	0.3577158055
69	0.3550253269
70	0.3528410082
71	0.3511323885
72	0.3495742761
73	0.3481579505
74	0.3457015979
75	0.3446490766
76	0.342549123
77	0.3410009391
78	0.3383434694
79	0.3360269024
80	0.3336104897
81	0.3323780775
82	0.3300959042
83	0.3285186732
84	0.3258945394
85	0.3241762669
86	0.3219580017
87	0.3203035101
88	0.3179412965
89	0.3166508431
90	0.3156147771
91	0.3139170447
92	0.3119544331
93	0.3102709038
94	0.3081242004
95	0.3061925483
96	0.3046301582
97	0.3025531138
98	0.3009535504
99	0.2990008371
100	0.2972551092
101	0.2959906259
102	0.2947145356
103	0.293787237
104	0.2919845732
105	0.290048015
106	0.2881560288
107	0.2865627461
108	0.2850382655
109	0.2832078486
110	0.281254889
111	0.2797865976
112	0.2785890513
113	0.2774419507
114	0.2761553468
115	0.2750885481
116	0.2729481521
117	0.2712159983
118	0.2697064961
119	0.2683243738
120	0.2661390546
121	0.2646184294
122	0.2635477871
123	0.262191835
124	0.2615444931
125	0.2603224006
126	0.2592830467
127	0.2577135657
128	0.2562430725
129	0.2549794385
130	0.2534473343
131	0.2522110618
132	0.2508604528
133	0.2497698452
134	0.2481779153
135	0.2471791709
136	0.2459519302
137	0.2450447291
138	0.2436796836
139	0.2424898822
140	0.2406513891
141	0.2393368492
142	0.2380935181
143	0.2372543849
144	0.2355436976
145	0.234191699
146	0.2332124079
147	0.2316816327
148	0.2304473613
149	0.2291590069
150	0.2281831471
151	0.2268710256
152	0.2261360384
153	0.2249377216
154	0.2238148353
155	0.2224588535
156	0.2213014152
157	0.2201625843
158	0.2188017087
159	0.2176422507
160	0.2165298735
161	0.2157132089
162	0.214688591
163	0.214081308
164	0.2128072017
165	0.2118747133
166	0.2110619593
167	0.2102717732
168	0.2094504503
169	0.2076399748
170	0.2065184224
171	0.2055551213
172	0.2041008681
173	0.202505853
174	0.2019774409
175	0.2006328319
176	0.1991304667
177	0.1981964718
178	0.1970910365
179	0.1962013727
180	0.1952780895
181	0.1946628539
182	0.1941895603
183	0.1934227224
184	0.1921436052
185	0.1915759937
186	0.190326314
187	0.1899332137
188	0.1889022646
189	0.1884381454
190	0.186962919
191	0.1862492586
192	0.185121185
193	0.184377119
194	0.1830987978
195	0.1819495916
196	0.1809909931
197	0.1792356042
198	0.1786281622
199	0.1781739683
200	0.1770130596
201	0.1757418602
202	0.1751559136
203	0.1744981335
204	0.1739302868
205	0.1724993892
206	0.1719497591
207	0.1710435472
208	0.1700305393
209	0.168838794
210	0.1679646899
211	0.1670260642
212	0.1663367832
213	0.1651689671
214	0.16468316
215	0.1637540929
216	0.1632291335
217	0.1626048937
218	0.161740501
219	0.1611328348
220	0.1605455799
221	0.1598683638
222	0.1589489737
223	0.1583026632
224	0.1573685303
225	0.1566361564
226	0.1558343572
227	0.1551784859
228	0.1547363734
229	0.1541717867
230	0.1536328351
231	0.1526812635
232	0.1521895415
233	0.1515257397
234	0.1508951104
235	0.1504328795
236	0.1498218861
237	0.1488670459
238	0.148111306
239	0.1474898519
240	0.14703829
241	0.14612085
242	0.1457250454
243	0.1450468086
244	0.1445073028
245	0.1438148066
246	0.1431167344
247	0.1424147028
248	0.1418961632
249	0.141318873
250	0.1408253444
251	0.14010297
252	0.139572427
253	0.1390302704
254	0.1385666873
255	0.1376102911
256	0.1367739879
257	0.1362615556
258	0.1353585646
259	0.1346611013
260	0.1340211459
261	0.1334057246
262	0.1324268259
263	0.1317836231
264	0.1312588127
265	0.1307437042
266	0.1302399472
267	0.1296369436
268	0.1288836167
269	0.1285694667
270	0.1281942115
271	0.1277094716
272	0.127273052
273	0.1262836922
274	0.1257328088
275	0.1252828534
276	0.1250497939
277	0.1244879909
278	0.1237910831
279	0.1232897744
280	0.1225443722
281	0.1217179582
282	0.1211400122
283	0.1202594284
284	0.1195748153
285	0.1191569344
286	0.1185986143
287	0.1179015009
288	0.1171162245
289	0.1165533045
290	0.1160510814
291	0.1155213351
292	0.1150781118
293	0.114533629
294	0.1140901527
295	0.113728712
296	0.1131098913
297	0.1124905973
298	0.1119586718
299	0.1115434314
300	0.1111169335
301	0.1106471431
302	0.1102530269
303	0.1098815664
304	0.1092389507
305	0.1086790768
306	0.1079049162
307	0.107459715
308	0.1070627032
309	0.1067237156
310	0.1059891549
311	0.1055088111
312	0.1049100184
313	0.1043484142
314	0.1038271867
315	0.1034587434
316	0.1028546833
317	0.1023077578
318	0.1018913448
319	0.1013165215
320	0.1008532264
321	0.1004750143
322	0.1000823066
323	0.09959695665
324	0.09923808263
325	0.09880183346
326	0.0984639894
327	0.09811493385
328	0.0975115277
329	0.09714006533
330	0.09676683311
331	0.0964767401
332	0.09597473114
333	0.09542673179
334	0.0951961296
335	0.09455723709
336	0.09416673256
337	0.09359619697
338	0.09320278107
339	0.09281102965
340	0.09234949846
341	0.09186431228
342	0.09154818403
343	0.09117711903
344	0.09069422735
345	0.08997537179
346	0.08961824178
347	0.08929845521
348	0.08904749281
349	0.08866969729
350	0.08821006414
351	0.08781477581
352	0.08746209357
353	0.08707500964
354	0.08661558083
355	0.08630465098
356	0.08589690895
357	0.08553383878
358	0.08518342659
359	0.08470985565
360	0.08425009757
361	0.08390730531
362	0.08375661933
363	0.08346671857
364	0.08303359332
365	0.08278836061
366	0.08249220096
367	0.08207392035
368	0.08169538038
369	0.08139640364
370	0.08097864555
371	0.08045456471
372	0.0800901219
373	0.07977514897
374	0.07939502936
375	0.07902017969
376	0.07865805276
377	0.07821078839
378	0.07798049997
379	0.07771353643
380	0.07744816537
381	0.07732072496
382	0.0770113708
383	0.07667311943
384	0.07634560622
385	0.0759617383
386	0.07560857804
387	0.07533475798
388	0.07490574709
389	0.07439592382
390	0.07410655624
391	0.07388938688
392	0.07368065315
393	0.07348178062
394	0.07328881865
395	0.07308122352
396	0.07262723649
397	0.07235188457
398	0.0721189776
399	0.0717831297
400	0.07162091091
401	0.07140046155
402	0.07117565966
403	0.07092606414
404	0.07058217747
405	0.07020342909
406	0.06999088675
407	0.06955886205
408	0.06943808927
409	0.06919812556
410	0.06890624851
411	0.06861480053
412	0.06835517106
413	0.06803332476
414	0.06786428066
415	0.06756438123
416	0.06721246072
417	0.0669745597
418	0.06679977246
419	0.06659450261
420	0.06633690211
421	0.06608044067
422	0.06582043073
423	0.06562037657
424	0.0653713974
425	0.06514054285
426	0.06482374889
427	0.06466958476
428	0.06445255717
429	0.06422458635
430	0.06409573289
431	0.06378244766
432	0.06360631581
433	0.06338073201
434	0.06314269364
435	0.0630107788
436	0.06290413125
437	0.062595874
438	0.06242546145
439	0.06216880582
440	0.0618510523
441	0.0615997096
442	0.0614650591
443	0.06112589887
444	0.06088338507
445	0.06054367316
446	0.06024896204
447	0.06003616611
448	0.05991932013
449	0.05975843801
450	0.05947015473
451	0.05918334401
452	0.05896995126
453	0.05870338
454	0.05845777148
455	0.0582544354
456	0.0580525507
457	0.05782592657
458	0.05757226426
459	0.05741199502
460	0.05726788464
461	0.05704325999
462	0.05684278111
463	0.05671098018
464	0.05650378712
465	0.05638031486
466	0.05629516196
467	0.05618257432
468	0.05596342611
469	0.05586915484
470	0.05563768595
471	0.05546603211
472	0.05535943371
473	0.05513011637
474	0.05501266856
475	0.05482053088
476	0.05472903865
477	0.05457713046
478	0.0543891444
479	0.05421808708
480	0.05401018675
481	0.05382885783
482	0.05356195416
483	0.05342414041
484	0.05323369328
485	0.05298794219
486	0.05284138964
487	0.05261866104
488	0.0524902643
489	0.05220348695
490	0.05203077077
491	0.05194169339
492	0.05177920493
493	0.05169504415
494	0.05153221689
495	0.05138678625
496	0.05122724061
497	0.05107959598
498	0.0509508753
499	0.05083053201
500	0.0506181047
501	0.05045631168
502	0.05028857013
503	0.05016510931
504	0.05003778601
505	0.04991831742
506	0.04976056161
507	0.0496141852
508	0.04946911624
509	0.0493608647
510	0.04924701194
511	0.04913392192
512	0.04904806245
513	0.04885901977
514	0.04871080003
515	0.0484998787
516	0.04840379111
517	0.04823593663
518	0.0480518673
519	0.04784814124
520	0.04765738063
521	0.04751846916
522	0.04743654931
523	0.04735726129
524	0.04725926268
525	0.04716389384
526	0.04708626112
527	0.04683131182
528	0.04670310988
529	0.04656703418
530	0.04639436296
531	0.04629209717
532	0.04618066053
533	0.04606839577
534	0.04591430922
535	0.0457893633
536	0.04565421156
537	0.04552877197
538	0.04540960149
539	0.04532629834
540	0.0451805161
541	0.04495506379
542	0.044844923
543	0.04475547813
544	0.04462172887
545	0.04450792319
546	0.04444255606
547	0.04435353745
548	0.04417464761
549	0.04404833221
550	0.04394796624
551	0.04384708771
552	0.04367465798
